user_language,q2,q3,q4,q5,q6,q8,q9,q10_1,q10_2,q10_3,q11_1,q11_2,q11_3,q11_4,q12,q13_1,q13_2,q13_3,q13_4,q13_5,q13_6,q13_7,q14_1,q14_2,q14_3,q14_4,q14_5,q15_1,q15_2,q15_3,q15_4,q16_1,q16_2,q16_3,q16_4,q17_1,q17_2,q17_3,q18,q19,q20,q21,q22,q23,q24,q25_1,q25_2,q25_3,q26,q27_1,q27_2,q27_3,q28,q29,q30,q31,q38,q45_1,fl_15_do,tolerant_engagement_forums_invitation_do,federalism_do
EN,Yes,Male,No,Urban,Yes,Addis Ababa,"Amhara,Guragie",3,2,1,Never,Less than once a month,A few times a week,Every day,Never,Never,Never,Once or Twice,Never,Never,Never,Never,More than twice,Never,More than 5 times,More than 10 times,More than twice,Prefer not to say,Not a member,Not a member,Not a member,Yes,No,No,Yes,5,8,7,Neither agree nor disagree,I agree with B,I agree with neither,I agree with B,I agree with A,I agree with A,Disagree,Somewhat like,Neither like nor dislike,Somewhat like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",I don't know my plans yet,NA,NA,5,Somewhat interested,9,FL_18,Q35,Q40|Q43|Q45
EN,Yes,Male,Yes,Urban,No,Addis Ababa,"Guragie,Oromo",3,2,1,Less than once a month,Every day,Every day,Every day,Never,Never,Never,Never,Once or Twice,Never,Never,Never,More than twice,More than twice,More than twice,More than twice,Once or Twice,Active member,Not a member,Not a member,Not a member,NA,Yes,No,Yes,0,10,8,Strongly disagree,I agree strongly with B,I agree with A,I agree strongly with B,I agree with neither,I agree with A,Neither agree nor disagree,Strongly like,Somewhat like,Somewhat like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities,Proximity to family",10,Somewhat uninterested,7,FL_17,Q34,Q40|Q42|Q45
EN,Yes,Female,Yes,Urban,Yes,Amhara Region,Amhara,1,2,3,Never,Less than once a month,Less than once a month,A few times a month,Never,Never,Never,Never,Never,Never,Once or Twice,Never,Never,Never,Never,Once or Twice,More than 5 times,Inactive member,Not a member,Not a member,Not a member,NA,No,No,No,4,5,4,Strongly disagree,I agree with B,I agree strongly with A,I agree with A,I agree strongly with A,I agree with B,Disagree,Strongly like,Neither like nor dislike,Strongly like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,Job opportunities,4,Very interested,7,FL_17,Q37,Q40|Q41|Q45
EN,Yes,Male,No,Urban,Yes,"Southern Nations, Nationalities, and Peoples Region","Guragie,Oromo",1,3,2,Never,Never,Never,A few times a month,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,More than 10 times,More than 10 times,Not a member,Not a member,Not a member,Not a member,No,No,No,No,3,10,5,Strongly disagree,I agree strongly with B,I agree with B,I agree with B,I agree strongly with A,I agree with B,Strongly disagree,Strongly like,Neither like nor dislike,Strongly like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities",7,Somewhat interested,6,FL_18,Q37,Q40|Q44|Q45
EN,Yes,Male,No,Urban,Yes,Addis Ababa,Prefer not to say,1,NA,NA,A few times a month,A few times a week,Never,Every day,Never,Never,Never,Never,Never,Never,Once or Twice,Never,Never,Once or Twice,More than twice,More than 10 times,Never,Inactive member,Not a member,Not a member,Not a member,NA,No,No,No,3,9,10,Somewhat agree,I agree with A,I agree strongly with A,I agree with A,I agree with B,I agree with B,Neither agree nor disagree,Strongly like,Strongly like,Strongly like,I don't know yet,"Yes, it has crossed my mind","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,"Job opportunities,Proximity to family",30,Somewhat interested,10,FL_17,Q34,Q40|Q43|Q45
EN,Yes,Male,Yes,Urban,Yes,Other,Tigre,1,2,3,A few times a month,Less than once a month,Less than once a month,A few times a month,Never,Once or Twice,Never,Once or Twice,Never,Never,Never,Never,Once or Twice,More than twice,More than 5 times,More than 5 times,More than 5 times,Inactive member,Not a member,Not a member,Not a member,NA,No,No,No,2,2,0,Somewhat disagree,I agree with B,I agree with A,I agree with B,I agree with neither,I agree strongly with A,Neither agree nor disagree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities,Proximity to family",6,Somewhat interested,8,FL_18,Q36,Q40|Q44|Q45
EN,Yes,Female,Yes,Urban,Yes,"Southern Nations, Nationalities, and Peoples Region",Welayta,1,2,3,Less than once a month,A few times a month,Never,Every day,Never,Never,Never,Never,Never,Never,Never,Never,Never,More than twice,More than 10 times,More than 5 times,More than twice,Not a member,Not a member,Not a member,Not a member,No,No,No,No,0,5,5,Neither agree nor disagree,I agree with neither,I agree strongly with A,I agree strongly with B,I agree with A,I agree with neither,Disagree,Strongly like,Somewhat like,Strongly like,I don't know yet,"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",I don't know my plans yet,NA,NA,5,Somewhat interested,10,FL_17,Q36,Q40|Q42|Q45
AMH,Yes,Male,Yes,Urban,Yes,Addis Ababa,"Amhara,Oromo,Tigre,Other",3,NA,1,Less than once a month,A few times a week,Every day,Every day,Never,Once or Twice,Never,Once or Twice,Once or Twice,Once or Twice,Once or Twice,Once or Twice,More than twice,Once or Twice,More than twice,More than 10 times,More than 5 times,Not a member,Not a member,Not a member,Inactive member,No,No,No,NA,2,9,10,Neither agree nor disagree,I agree with B,I agree strongly with A,I agree with neither,I agree strongly with A,I agree with B,Neither agree nor disagree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,Business sector (private for-profit companies),"Yes, it has crossed my mind","Yes, it has crossed my mind","No, I have not thought about it",I don't know my plans yet,NA,NA,13,Very interested,7,FL_17,Q34,Q40|Q44|Q45
EN,Yes,Male,No,Rural,Yes,Oromia Region,Oromo,1,2,3,Never,A few times a week,A few times a month,Every day,Never,Never,Never,Never,Never,Once or Twice,More than twice,Never,More than twice,More than 5 times,More than 5 times,More than twice,More than twice,Not a member,Not a member,Not a member,Active member,No,No,No,NA,2,10,10,Strongly disagree,I agree with B,I agree with A,I agree with A,I agree with A,I agree strongly with B,Neither agree nor disagree,Strongly like,Neither like nor dislike,Strongly like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,Other educational opportunities,20,Very interested,5,FL_17,Q34,Q40|Q41|Q45
AFAN_OROMO,Yes,Male,Yes,Urban,Yes,Oromia Region,Oromo,3,2,1,A few times a month,Every day,A few times a week,Every day,Never,Never,Once or Twice,Never,Never,Never,Once or Twice,Never,More than 10 times,Never,Never,Never,Once or Twice,Active member,Inactive member,Not a member,Inactive member,NA,NA,Yes,NA,0,10,8,Strongly disagree,I agree strongly with B,I agree with neither,I agree strongly with B,I agree with A,I agree with A,Strongly agree,Strongly like,Strongly like,Neither like nor dislike,Politics (pursuing elected office or working for a campaign or political party),"Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,"Other educational opportunities,Other",10,Very interested,7,FL_18,Q34,Q40|Q43|Q45
EN,Yes,Male,Yes,Urban,Yes,Oromia Region,Oromo,3,2,1,Less than once a month,A few times a month,A few times a week,Every day,A few times a week,More than twice,Once or Twice,More than twice,Once or Twice,Never,More than twice,More than twice,More than twice,More than twice,More than 5 times,Never,Once or Twice,Inactive member,Active member,Inactive member,Active member,NA,NA,NA,NA,3,8,9,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree strongly with B,I agree strongly with B,I agree strongly with A,Strongly agree,Strongly like,Strongly like,Strongly like,I don't know yet,"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,Other educational opportunities,11,Very interested,0,FL_18,Q34,Q40|Q41|Q45
EN,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,Yes,Male,No,Urban,Yes,Addis Ababa,"Amhara,Oromo",3,NA,NA,Less than once a month,A few times a week,A few times a month,Every day,Never,Never,Once or Twice,Once or Twice,Once or Twice,Never,Once or Twice,Never,More than 5 times,Never,More than twice,More than 10 times,More than 10 times,Not a member,Not a member,Not a member,Not a member,No,No,No,No,0,10,10,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree with B,I agree strongly with A,I agree with B,Agree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","Yes, I plan to move to another region",Job opportunities,NA,3,Very interested,6,FL_17,Q35,Q40|Q41|Q45
EN,Yes,Male,No,Urban,Yes,Addis Ababa,Oromo,1,2,3,Less than once a month,A few times a week,Never,Every day,Never,Never,Never,Never,Once or Twice,Never,Once or Twice,Never,Never,Never,Once or Twice,More than 5 times,More than twice,Active member,Not a member,Not a member,Not a member,NA,Yes,No,Yes,7,8,6,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree with B,I agree with A,I agree with B,Neither agree nor disagree,Somewhat like,Somewhat like,Strongly like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",I don't know my plans yet,NA,NA,30,Somewhat interested,5,FL_18,Q37,Q40|Q41|Q45
EN,Yes,Male,No,Urban,Yes,"Southern Nations, Nationalities, and Peoples Region","Amhara,Guragie",1,2,3,A few times a week,A few times a week,Never,Every day,Less than once a month,Never,Never,Never,Once or Twice,Never,Once or Twice,Never,Never,Never,Never,Once or Twice,Never,Prefer not to say,Not a member,Not a member,Active member,No,No,No,NA,5,10,10,Strongly disagree,I agree with B,I agree strongly with A,I agree with neither,I agree strongly with A,I agree strongly with B,Neither agree nor disagree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,I don't know yet,"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities",10,Very interested,7,FL_17,Q36,Q40|Q42|Q45
EN,Yes,Male,No,Urban,Yes,Addis Ababa,Tigre,3,2,1,A few times a month,A few times a week,Every day,Every day,A few times a week,Once or Twice,Never,Never,More than 10 times,Never,Never,Never,Never,Never,Never,Never,Never,Inactive member,Not a member,Not a member,Not a member,NA,Yes,No,Yes,2,8,7,Strongly disagree,I agree with B,I agree with neither,I agree strongly with B,I agree strongly with B,I agree strongly with A,Agree,Strongly like,Strongly like,Strongly like,Civil society (private not-for-profit organizations),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, I plan to move to another region","Job opportunities,Other educational opportunities,Proximity to family",NA,20,Very interested,4,FL_17,Q35,Q40|Q43|Q45
EN,Yes,Male,Yes,Rural,Yes,Oromia Region,Oromo,1,2,3,Less than once a month,Less than once a month,A few times a week,Every day,A few times a week,More than twice,Once or Twice,Never,More than twice,Never,More than 5 times,Never,More than 10 times,More than 10 times,More than 5 times,More than twice,More than 10 times,Not a member,Not a member,Not a member,Inactive member,Yes,No,Yes,NA,8,9,10,Strongly disagree,I agree with B,I agree strongly with A,I agree with B,I agree strongly with A,I agree with B,Disagree,Strongly like,Strongly like,Somewhat like,Business sector (private for-profit companies),"No, I have not thought about it","No, I have not thought about it","No, I have not thought about it","Yes, I plan to move to another region","Other educational opportunities,Other",NA,30,Very interested,7,FL_17,Q35,Q40|Q44|Q45
EN,Yes,Male,No,Rural,Yes,Oromia Region,Oromo,NA,NA,1,NA,NA,NA,Every day,Less than once a month,Never,Never,Never,Never,Never,Once or Twice,Never,More than 10 times,Never,Never,More than 10 times,More than 10 times,Inactive member,Not a member,Not a member,Not a member,NA,Yes,No,Yes,1,8,7,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree strongly with B,I agree strongly with A,I agree with A,Strongly agree,Strongly like,Strongly like,Strongly like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,Other educational opportunities,2,Very interested,6,FL_18,Q36,Q40|Q42|Q45
EN,Yes,Female,No,Urban,Yes,Addis Ababa,"Amhara,Oromo",1,2,3,A few times a week,A few times a week,A few times a month,Every day,Less than once a month,Never,Never,Never,Once or Twice,Never,Once or Twice,Never,Once or Twice,More than twice,More than twice,Once or Twice,Once or Twice,Active member,Not a member,Not a member,Not a member,NA,No,No,Yes,2,10,5,Somewhat agree,I agree with B,I agree with B,I agree with neither,I agree strongly with A,I agree strongly with B,Strongly agree,Somewhat like,Somewhat like,Somewhat like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, I plan to move to another region","Job opportunities,Other",NA,20,Very interested,5,FL_17,Q36,Q40|Q41|Q45
EN,Yes,Male,No,Rural,Yes,Tigray Region,Tigre,1,2,3,A few times a week,A few times a week,A few times a month,A few times a week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Not a member,Not a member,Not a member,Not a member,No,No,No,Yes,10,10,10,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree strongly with A,I agree strongly with A,I agree strongly with A,Strongly disagree,Strongly like,Strongly like,Strongly like,Business sector (private for-profit companies),"No, I have not thought about it","No, I have not thought about it","No, I have not thought about it","No, I plan to stay in Addis",NA,Job opportunities,20,Very interested,10,FL_17,Q34,Q40|Q43|Q45
